"binding","objOfProp","label"
"http://dbpedia.org/resource/Spirited","http://dbpedia.org/resource/Claudia_Karvan","Claudia Karvan"
"http://dbpedia.org/resource/Stanley_(2001_TV_series)","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/Love_My_Way","http://dbpedia.org/resource/Claudia_Karvan","Claudia Karvan"
"http://dbpedia.org/resource/Mr._Broadway","http://dbpedia.org/resource/Garson_Kanin","Garson Kanin"
"http://dbpedia.org/resource/Out_of_Practice","http://dbpedia.org/resource/Joe_Keenan_(writer)","Joe Keenan (sceneggiatore)"
"http://dbpedia.org/resource/PB&J_Otter","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/Paid_Programming_(TV_pilot)","http://dbpedia.org/resource/H._Jon_Benjamin","H. Jon Benjamin"
"http://dbpedia.org/resource/Una_Maid_en_Manhattan","http://dbpedia.org/resource/John_Hughes_(filmmaker)","John Hughes (regista)"
"http://dbpedia.org/resource/Residue_(TV_series)","http://dbpedia.org/resource/John_Harrison_(director)","John Harrison (regista)"
"http://dbpedia.org/resource/Pelswick","http://dbpedia.org/resource/John_Callahan_(cartoonist)","John Callahan (fumettista)"
"http://dbpedia.org/resource/Penny_Dreadful_(TV_series)","http://dbpedia.org/resource/John_Logan_(writer)","John Logan (sceneggiatore)"
"http://dbpedia.org/resource/The_New_Adventures_of_Beany_and_Cecil","http://dbpedia.org/resource/John_Kricfalusi","John Kricfalusi"
"http://dbpedia.org/resource/Tu_volverás_(TV_series)","http://dbpedia.org/resource/John_Hughes_(filmmaker)","John Hughes (regista)"
"http://dbpedia.org/resource/Captain_America","http://dbpedia.org/resource/Joe_Simon","Joe Simon (fumettista)"
"http://dbpedia.org/resource/Crash_Course_(YouTube)","http://dbpedia.org/resource/John_Green_(author)","John Green (scrittore)"
"http://dbpedia.org/resource/At_Ease_(TV_series)","http://dbpedia.org/resource/John_Hughes_(filmmaker)","John Hughes (regista)"
"http://dbpedia.org/resource/Lovejoy","http://dbpedia.org/resource/John_Grant_(novelist)","Jonathan Gash"
"http://dbpedia.org/resource/Ghost_Whisperer","http://dbpedia.org/resource/John_Gray_(director)","John Gray (regista)"
"http://dbpedia.org/resource/Heidi_(2015_TV_series)","http://dbpedia.org/resource/Johanna_Spyri","Johanna Spyri"
"http://dbpedia.org/resource/John_Callahan's_Quads!","http://dbpedia.org/resource/John_Callahan_(cartoonist)","John Callahan (fumettista)"
"http://dbpedia.org/resource/Ren_&_Stimpy_%22Adult_Party_Cartoon%22","http://dbpedia.org/resource/John_Kricfalusi","John Kricfalusi"
"http://dbpedia.org/resource/Resnick_(TV_series)","http://dbpedia.org/resource/John_Harvey_(author)","John Harvey"
"http://dbpedia.org/resource/The_Ren_&_Stimpy_Show","http://dbpedia.org/resource/John_Kricfalusi","John Kricfalusi"
"http://dbpedia.org/resource/The_Ripping_Friends","http://dbpedia.org/resource/John_Kricfalusi","John Kricfalusi"
"http://dbpedia.org/resource/American_Crime_(TV_series)","http://dbpedia.org/resource/John_Ridley","John Ridley"
"http://dbpedia.org/resource/Mapleworth_Murders","http://dbpedia.org/resource/John_Lutz","John Lutz (attore)"
"http://dbpedia.org/resource/Mapleworth_Murders","http://dbpedia.org/resource/John_Lutz","John Lutz"
"http://dbpedia.org/resource/Platinum_(TV_series)","http://dbpedia.org/resource/John_Ridley","John Ridley"
"http://dbpedia.org/resource/Penny_Dreadful:_City_of_Angels","http://dbpedia.org/resource/John_Logan_(writer)","John Logan (sceneggiatore)"
"http://dbpedia.org/resource/Judge_Dredd","http://dbpedia.org/resource/John_Wagner","John Wagner"
"http://dbpedia.org/resource/Rush_(American_TV_series)","http://dbpedia.org/resource/Jonathan_Levine","Jonathan Levine"
"http://dbpedia.org/resource/Scar_(The_Lion_King)","http://dbpedia.org/resource/Jonathan_Roberts_(writer)","Jonathan Roberts"
"http://dbpedia.org/resource/It's_Only_TV...but_I_Like_It","http://dbpedia.org/resource/Jonathan_Ross","Jonathan Ross"
"http://dbpedia.org/resource/Horizontes_da_Memória","http://dbpedia.org/resource/José_Hermano_Saraiva","José Hermano Saraiva"
"http://dbpedia.org/resource/Angel_Street_(TV_series)","http://dbpedia.org/resource/John_Wells_(filmmaker)","John Wells (produttore)"
