"binding","subjOfProp","label"
"http://dbpedia.org/resource/John_Peterson_(author)","http://dbpedia.org/resource/The_Littles_(TV_series)","I Piccoli (serie animata)"
"http://dbpedia.org/resource/George_Mandel","http://dbpedia.org/resource/Patriot_(comics)","Patriot (personaggio)"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Sofia_Falcone_Gigante","Sofia Falcone Gigante"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Nate_Grey","Nate Grey"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Hush_(character)","Hush (personaggio)"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Thunderbolt_Ross","Thunderbolt Ross"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Hobgoblin_(comics)","Hobgoblin (personaggio)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Starman_(DC_Comics)","Starman (personaggio)"
"http://dbpedia.org/resource/Tom_Tykwer","http://dbpedia.org/resource/Babylon_Berlin","Babylon Berlin"
"http://dbpedia.org/resource/Tracy_Tormé","http://dbpedia.org/resource/Sliders","I viaggiatori"
"http://dbpedia.org/resource/Tom_Rob_Smith","http://dbpedia.org/resource/London_Spy","London Spy"
"http://dbpedia.org/resource/Aubrey_Singer","http://dbpedia.org/resource/Our_World_(1967_TV_program)","Our World"
"http://dbpedia.org/resource/Casper_Kelly","http://dbpedia.org/resource/Too_Many_Cooks_(short)","Too Many Cooks (programma televisivo)"
"http://dbpedia.org/resource/Tyler_Perry","http://dbpedia.org/resource/Too_Close_to_Home_(TV_series)","Too Close to Home"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Hrvatski_Top_Model","Hrvatski Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Peru's_Next_Top_Model","Peru's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Philippines'_Next_Top_Model","Philippines' Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Korea's_Next_Top_Model","Korea's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Colombia's_Next_Top_Model","Colombia's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Eesti_tippmodell","Eesti tippmodell"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Top_Model_(French_TV_series)","France's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Top_Model_(Polish_TV_series)","Top Model. Zostań modelką"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Top_Model_(Scandinavian_TV_series)","Top Model (Scandinavia)"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Top_Model_po-russki","Top Model po-russki"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Top_Model_Norge","Norway's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/The_Tyra_Banks_Show","The Tyra Banks Show"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Ty_-_supermodel","You Are a Supermodel"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Greece's_Next_Top_Model","Next Top Model (Grecia)"
"http://dbpedia.org/resource/Jeffrey_Klarik","http://dbpedia.org/resource/The_Class_(TV_series)","The Class - Amici per sempre"
"http://dbpedia.org/resource/Jonathan_Glassner","http://dbpedia.org/resource/Island_City_(1994_film)","2035 - Mutazione immortale"
"http://dbpedia.org/resource/Jonathan_Glassner","http://dbpedia.org/resource/Stargate_SG-1","Stargate SG-1"
"http://dbpedia.org/resource/Paul_Gustavson","http://dbpedia.org/resource/Human_Bomb","Bomba Umana"
"http://dbpedia.org/resource/Paul_Gustavson","http://dbpedia.org/resource/Jester_(Quality_Comics)","Jester (DC Comics)"
"http://dbpedia.org/resource/Paul_Gustavson","http://dbpedia.org/resource/Spider_(DC_Comics)","Alias il Ragno"
"http://dbpedia.org/resource/Adrian_Alphona","http://dbpedia.org/resource/Gertrude_Yorkes","Gertrude Yorkes"
"http://dbpedia.org/resource/Alan_Davis","http://dbpedia.org/resource/Jester_(Marvel_Comics)","Jester (Marvel Comics)"
"http://dbpedia.org/resource/Allan_Burns","http://dbpedia.org/resource/Lou_Grant_(TV_series)","Lou Grant"
"http://dbpedia.org/resource/Allan_Burns","http://dbpedia.org/resource/My_Mother_the_Car","Mamma a quattro ruote"
"http://dbpedia.org/resource/Amy_Heckerling","http://dbpedia.org/resource/Clueless_(TV_series)","Ragazze a Beverly Hills (serie televisiva)"
"http://dbpedia.org/resource/Amy_Hennig","http://dbpedia.org/resource/Chloe_Frazer","Chloe Frazer"
"http://dbpedia.org/resource/Arthur_Conan_Doyle","http://dbpedia.org/resource/Irene_Adler","Irene Adler"
