"binding","label"
"http://dbpedia.org/resource/The_Errol_Flynn_Theatre","The Errol Flynn Theatre"
"http://dbpedia.org/resource/The_Physicists","I fisici"
"http://dbpedia.org/resource/The_Towers_of_Bois-Maury","Le Torri di Bois-Maury"
"http://dbpedia.org/resource/The_Wild_Soccer_Bunch","La tribù del pallone"
"http://dbpedia.org/resource/Impulse_Fire_Extinguishing_System","Impulse Fire Extinguing Technology"
"http://dbpedia.org/resource/Incoterms","Incoterms"
"http://dbpedia.org/resource/List_of_songs_in_SingStar_games_(PlayStation_3)","Lista dei SingStar per PlayStation 3"
"http://dbpedia.org/resource/52_(comics)","52 (fumetto)"
"http://dbpedia.org/resource/AMA_Superbike_Championship","Campionato MotoAmerica Superbike"
"http://dbpedia.org/resource/AMULET_microprocessor","AMULET"
"http://dbpedia.org/resource/A_Series_of_Unfortunate_Events","Una serie di sfortunati eventi"
"http://dbpedia.org/resource/A_Song_of_Ice_and_Fire","Cronache del ghiaccio e del fuoco"
"http://dbpedia.org/resource/A_Streetcar_Named_Desire_(opera)","Un tram che si chiama Desiderio (opera)"
"http://dbpedia.org/resource/A_flor_de_piel","A flor de piel"
"http://dbpedia.org/resource/Abel_Prize","Premio Abel"
"http://dbpedia.org/resource/Ace_Combat","Ace Combat"
"http://dbpedia.org/resource/Achille_Talon","Walter Melon"
"http://dbpedia.org/resource/Advanced_Combat_Optical_Gunsight","Advanced Combat Optical Gunsight"
"http://dbpedia.org/resource/Age_of_Empires","Age of Empires (serie)"
"http://dbpedia.org/resource/Akazukin_Chacha","Akazukin Chacha"
"http://dbpedia.org/resource/Aleppo_soap","Sapone di Aleppo"
"http://dbpedia.org/resource/Alessandro_(opera)","Alessandro (opera)"
"http://dbpedia.org/resource/Alex_Kidd","Alex Kidd"
"http://dbpedia.org/resource/Alfonso_und_Estrella","Alfonso ed Estrella"
"http://dbpedia.org/resource/Alfred_J._Kwak","Niente paura, c'è Alfred!"
"http://dbpedia.org/resource/Alias_(TV_series)","Alias (serie televisiva)"
"http://dbpedia.org/resource/Alice_(American_TV_series)","Alice (serie televisiva)"
"http://dbpedia.org/resource/Alice_(South_Korean_TV_series)","Alice (drama coreano)"
"http://dbpedia.org/resource/Alice_in_Wonderland_(1999_film)","Alice nel Paese delle Meraviglie (film 1999)"
"http://dbpedia.org/resource/Alien_(franchise)","Alien (franchise)"
"http://dbpedia.org/resource/Alien_Nation_(TV_series)","Alien Nation (serie televisiva)"
"http://dbpedia.org/resource/Aliens_in_America","Aliens in America"
"http://dbpedia.org/resource/All_American_(TV_series)","All American (serie televisiva)"
"http://dbpedia.org/resource/All_Creatures_Great_and_Small_(1978_TV_series)","Creature grandi e piccole (serie televisiva)"
"http://dbpedia.org/resource/All_Grown_Up!","I Rugrats da grandi"
"http://dbpedia.org/resource/All_In_(TV_series)","All In (drama coreano)"
"http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(1979_film)","Niente di nuovo sul fronte occidentale (film)"
"http://dbpedia.org/resource/All_Saints_(TV_series)","All Saints (serie televisiva)"
"http://dbpedia.org/resource/All_That","All That"
"http://dbpedia.org/resource/All_Together_Now_(Italian_TV_series)","All Together Now - La musica è cambiata"
"http://dbpedia.org/resource/All_in_the_Family","Arcibaldo (serie televisiva)"
"http://dbpedia.org/resource/All_the_Way_(film)","All the Way (film 2016)"
"http://dbpedia.org/resource/Allegiance_(TV_series)","Allegiance (serie televisiva)"
"http://dbpedia.org/resource/Allison_(novel_series)","Allison (light novel)"
"http://dbpedia.org/resource/Almost_Grown_(TV_series)","Quasi adulti"
"http://dbpedia.org/resource/Almost_Human_(TV_series)","Almost Human (serie televisiva)"
"http://dbpedia.org/resource/Alone_(TV_series)","Alone (programma televisivo)"
"http://dbpedia.org/resource/Alone_in_the_Dark","Alone in the Dark (serie)"
"http://dbpedia.org/resource/Alphas","Alphas"
"http://dbpedia.org/resource/Alphonse_Elric","Alphonse Elric"
"http://dbpedia.org/resource/Alternate_Reality_(series)","Alternate Reality"
"http://dbpedia.org/resource/Alvin_and_the_Chipmunks_(1983_TV_series)","Alvin rock 'n' roll"
"http://dbpedia.org/resource/Alwin_Schockemöhle","Alwin Schockemöhle"
"http://dbpedia.org/resource/Alzira_(opera)","Alzira (Verdi)"
"http://dbpedia.org/resource/Amadis_(Massenet)","Amadis"
"http://dbpedia.org/resource/Amagi_Brilliant_Park","Amagi Brilliant Park"
"http://dbpedia.org/resource/Amakusa","Arcipelago di Amakusa"
"http://dbpedia.org/resource/Amanda's","Amanda (serie televisiva)"
"http://dbpedia.org/resource/Amazing_Stories_(1985_TV_series)","Storie incredibili (serie televisiva 1985)"
"http://dbpedia.org/resource/Amazons_(1984_film)","Amazzoni (film)"
"http://dbpedia.org/resource/Ambushed_(1998_film)","La trappola (film 1998)"
"http://dbpedia.org/resource/Amen_(TV_series)","Amen (serie televisiva)"
